Bericht,Berichtklasse,Berichtelement\Datatype,CDT-element\Datatype,CDT-element\Datatype,Sleutelelement,Codelijst,Regel,Regelcode,Retourcode
JW307,StopProduct,Einddatum,,,ja,,TR018: Einddatum moet groter dan of gelijk zijn aan Begindatum.,TR018,0001
JW307,StopProduct,Einddatum,,,ja,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW307,StopProduct,Einddatum\LDT_Datum,,,ja,,RS032: Datum vullen zonder tijdzone.,RS032,
JW315,,,,,,,TR374: Een verzoek mag alleen worden verstuurd als er geen onderhanden verzoek is voor de betreffende client van dezelfde aanbieder.,TR374,9374
JW315,,,,,,,"OP003:  Het gestandaardiseerd berichtenverkeer wordt niet gebruikt indien, naar oordeel van een (zorg)professional, de overdracht van clientgegevens ernstige risico's met zich meebrengt voor de veiligheid van de client.",OP003,
JW315,,,,,,,"OP047: Als een bericht niet aan de geldende standaard voldoet, mag het bericht afgekeurd worden.",OP047,
JW315,,,,,,,OP079: Het is verplicht om gebruik te maken van het BSN van de client in de onderlinge uitwisseling van gegevens.,OP079,
JW315,,,,,,,OP080: Aan het tijdstip waarop en de volgorde waarin berichten worden ontvangen en verwerkt kunnen ketenpartijen geen betekenis hechten.,OP080,
JW315,,,,,,,OP095: Een bericht mag niet worden afgekeurd op basis van informatie waartoe de verzendende partij geen toegang heeft.,OP095,
JW315,,,,,,,OP179: De grootte van verzonden bestanden mag niet meer zijn dan 25 Mb.,OP179,
JW315,,,,,,,OP191: Het gebruik van ongestructureerde informatie dient tot een minimum beperkt te worden.,OP191,
JW315,,,,,,,OP192: Verzonden berichten moeten voldoen aan de technische eisen.,OP192,
JW315,,,,,,,OP252: Bij een (deels) onbekende geboortedatum moet aangegeven worden welk deel van de geboortedatum betrouwbaar is.,OP252,
JW315,,,,,,,OP254: In de iJw berichten worden AGB-codes gebruikt voor routering van de berichten en voor identificatie van de aanbieder.,OP254,
JW315,,,,,,,"OP286: Als de ontvanger een technische fout constateert, keurt deze het bericht in zijn geheel af en laat hij dit weten aan de verzender. Het bericht moet daarmee functioneel als niet-verzonden worden beschouwd",OP286,
JW315,,,,,,,OP296: Het ingediende Verzoek om Toewijzing dient te passen binnen de gemaakte contractafspraken tussen gemeente en aanbieder.,OP296,
JW315,,,,,,,"OP297: Indien de zorgverlenercode van de verwijzer bekend is, dient de aanbieder deze mee te geven in het verzoek om toewijzing.",OP297,
JW315,,,,,,,OP307: Een verzoek om toewijzing bericht wordt alleen gebruikt indien een cliënt zich met een (wettelijke) verwijzing of een open beschikking meldt bij de zorgaanbieder,OP307,
JW315,,,,,,,OP347: Het is niet toegestaan om een zorg- of ondersteuningsproduct gestapeld aan te vragen,OP347,
JW315,,,,,,,OP350: Het is niet toegestaan een verzoek om wijziging of verzoek om toewijzing te sturen als een eerder verzoek nog niet is afgehandeld.,OP350,
JW315,,,,,,,OP361: Iedere aanvraag krijgt een uniek referentienummer per aanbieder per wettelijk domein,OP361,
JW315,AangevraagdProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW315,AangevraagdProduct,,,,,,TR386: Een Product mag alleen vaker in een verzoek om toewijzing voorkomen indien de zorgperiodes elkaar niet overlappen,TR386,0001
JW315,AangevraagdProduct,BeschikkingNummer,,,,,IV052: Hoe om te gaan met Beschikkingnummer in Verzoek om toewijzing?,IV052,
JW315,AangevraagdProduct,BeschikkingNummer\LDT_Nummer,,,,,RS001: Minimale waarde 0,RS001,
JW315,AangevraagdProduct,BeschikkingNummer\LDT_Nummer,,,,,RS006: Maximale waarde 999999999 (9*9),RS006,
JW315,AangevraagdProduct,Product,,,,,"CD079: Indien Budget leeg is, dan verplicht vullen",CD079,0001
JW315,AangevraagdProduct,Product,,,,,IV075: Hoe moeten productgegevens gevuld worden?,IV075,
JW315,AangevraagdProduct,Product\CDT_Product,Categorie\LDT_ProductCategorie,,,JZ020,RS009: Maximale lengte 2 posities,RS009,
JW315,AangevraagdProduct,Product\CDT_Product,Code,,,,"TR381: ProductCode vullen met een code die, volgens de gehanteerde productcodelijst, past bij de ProductCategorie.",TR381,S329
JW315,AangevraagdProduct,Product\CDT_Product,Code\LDT_ProductCode,,,,RS012: Maximale lengte 5 posities,RS012,
JW315,AangevraagdProduct,Product\CDT_Product,Code\LDT_ProductCode,,,,RS033: Geen lege elementen in XML.,RS033,
JW315,AangevraagdProduct,ToewijzingIngangsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW315,AangevraagdProduct,ToewijzingEinddatum,,,,,CD075: Verplicht vullen indien Budget gevuld is,CD075,0001
JW315,AangevraagdProduct,ToewijzingEinddatum,,,,,CD076: Verplicht vullen indien Frequentie waarde 2 (per week),CD076,0001
JW315,AangevraagdProduct,ToewijzingEinddatum,,,,,"CS003: Indien van toepassing vullen met een waarde die groter is dan, of gelijk is aan de Begindatum (of Ingangsdatum) van de aangeduide periode.",CS003,0001
JW315,AangevraagdProduct,ToewijzingEinddatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW315,AangevraagdProduct,Omvang,,,,,"CD041: Indien Code in Product gevuld is, verplicht vullen.",CD041,0001
JW315,AangevraagdProduct,Omvang,,,,,"CD077: Indien Budget gevuld is, dan leeg laten",CD077,0001
JW315,AangevraagdProduct,Omvang,,,,,"CD095: Indien Code in AangevraagdProduct leeg is en ToewijzingEinddatum van het AangevraagdProduct groter dan 31-12-2020 of leeg is, dan leeg laten",CD095,0001
JW315,AangevraagdProduct,Omvang,,,,,"CS343: Indien eenheid de waarde 14, 16, 83 of 84 heeft en ToewijzingEinddatum is groter dan 31-12-2020 of leeg, dan Frequentie vullen met waarde 2, 4 of 6",CS343,0001
JW315,AangevraagdProduct,Omvang,,,,,IV042: Hoe moet de omvang van te leveren of geleverde ondersteuning gevuld worden?,IV042,
JW315,AangevraagdProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS001: Minimale waarde 0,RS001,
JW315,AangevraagdProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS005: Maximale waarde 99999999 (8*9),RS005,
JW315,AangevraagdProduct,Omvang\CDT_Omvang,Eenheid\LDT_Eenheid,,,WJ756,RS009: Maximale lengte 2 posities,RS009,
JW315,AangevraagdProduct,Omvang\CDT_Omvang,Frequentie\LDT_Frequentie,,,WMO757,RS008: Maximale lengte 1 positie,RS008,
JW315,AangevraagdProduct,ReferentieAanbieder,,,ja,,TR347: ReferentieAanbieder is uniek voor de aanbieder binnen het wettelijk domein,TR347,9347
JW315,AangevraagdProduct,ReferentieAanbieder,,,ja,,TR383: ReferentieAanbieder is uniek voor elk AangevraagdProduct binnen het bericht,TR383,0001
JW315,AangevraagdProduct,ReferentieAanbieder\LDT_Referentie,,,ja,,RS024: Maximale lengte 36 posities,RS024,
JW315,AangevraagdProduct,ReferentieAanbieder\LDT_Referentie,,,ja,,RS033: Geen lege elementen in XML.,RS033,
JW315,AangevraagdProduct,BeschikkingIngangsdatum,,,,,"CD043: Indien Beschikkingnummer gevuld is, verplicht vullen, anders leeg laten.",CD043,0001
JW315,AangevraagdProduct,BeschikkingIngangsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,Type\LDT_TypeVerwijzer,,,COD327,RS009: Maximale lengte 2 posities,RS009,
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,Naam,,,,"CD066: Als type verwijzer gelijk is aan 02, 03, 04 of 05 en ZorgverlenerCode is gevuld, dan is Naamverwijzer leeg.",CD066,0001
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,Naam,,,,"CD067: Als type verwijzer gelijk is aan 02, 03, 04 of 05 en ZorgverlenerCode is leeg, dan is Naamverwijzer gevuld.",CD067,0001
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,Naam\LDT_NaamVerwijzer,,,,RS025: Maximale lengte 64 posities,RS025,
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,Naam\LDT_NaamVerwijzer,,,,RS033: Geen lege elementen in XML.,RS033,
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,ZorgverlenerCode,,,,"CD068: Als type verwijzer ongelijk is aan 02, 03, 04 of 05, dan is ZorgverlenerCode leeg.",CD068,0001
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,ZorgverlenerCode\LDT_AgbCode,,,,RS014: Maximale lengte 8 posities,RS014,
JW315,AangevraagdProduct,Verwijzer\CDT_Verwijzer,ZorgverlenerCode\LDT_AgbCode,,,,RS036: Vullen met 8 cijfers.,RS036,
JW315,AangevraagdProduct,Raamcontract\LDT_JaNee,,,,COD260,RS008: Maximale lengte 1 positie,RS008,
JW315,AangevraagdProduct,Commentaar\LDT_Commentaar,,,,,RS031: Commentaarvelden niet leeg.,RS031,
JW315,AangevraagdProduct,Budget,,,,,"CD078: Indien Omvang gevuld is, dan leeg laten",CD078,0001
JW315,AangevraagdProduct,Budget,,,,,IV024: Hoe moeten bedragen worden gevuld?,IV024,
JW315,AangevraagdProduct,Budget\LDT_Budget,,,,,RS001: Minimale waarde 0,RS001,
JW315,AangevraagdProduct,Budget\LDT_Budget,,,,,RS005: Maximale waarde 99999999 (8*9),RS005,
JW315,Client,Bsn\LDT_BurgerServicenummer,,,ja,,CS002: De waarde moet voldoen aan de 11-proef.,CS002,0001
JW315,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS015: Maximale lengte 9 posities,RS015,
JW315,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS037: Vullen met 9 cijfers.,RS037,
JW315,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,"TR002: Geboortedatum mag niet meer dan 120 jaar voor de Dagtekening liggen, tenzij Geboortedatum onbekend is.",TR002,0001
JW315,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW315,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,IV009: Hoe moet worden omgegaan met een geboortedatum?,IV009,
JW315,Client,Geboortedatum\CDT_Geboortedatum,Datum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW315,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik,,,,CS139: Voor Geboortedatum geldt dat DatumGebruik en Datum met elkaar in overeenstemming moeten zijn.,CS139,0001
JW315,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik\LDT_DatumGebruik,,,COD170,RS008: Maximale lengte 1 positie,RS008,
JW315,Client,Geslacht\LDT_Geslacht,,,,COD046,RS008: Maximale lengte 1 positie,RS008,
JW315,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW315,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW315,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW315,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW315,Client,Naam\CDT_VerkorteNaam,Voornamen\LDT_Naam,,,,RS028: Maximale lengte 200 posities,RS028,
JW315,Client,Naam\CDT_VerkorteNaam,Voornamen\LDT_Naam,,,,RS033: Geen lege elementen in XML.,RS033,
JW315,Client,Naam\CDT_VerkorteNaam,Voorletters\LDT_Voorletters,,,,RS013: Maximale lengte 6 posities,RS013,
JW315,Client,Naam\CDT_VerkorteNaam,Voorletters\LDT_Voorletters,,,,RS045: Aaneengesloten vullen (zonder punten of spaties).,RS045,
JW315,Client,GezagsdragerBekend\LDT_JaNee,,,,COD260,RS008: Maximale lengte 1 positie,RS008,
JW315,Client,Commentaar\LDT_Commentaar,,,,,RS031: Commentaarvelden niet leeg.,RS031,
JW315,Header,Afzender\LDT_AgbCode,,,,,RS014: Maximale lengte 8 posities,RS014,
JW315,Header,Afzender\LDT_AgbCode,,,,,RS036: Vullen met 8 cijfers.,RS036,
JW315,Header,Ontvanger,,,,,IV046: Welke gemeentecode moet gevuld worden?,IV046,
JW315,Header,Ontvanger\LDT_Gemeente,,,,,RS035: Vullen met 4 cijfers.,RS035,
JW315,Header,Ontvanger\LDT_Gemeente,,,,,TR378: Vullen met een bestaande gemeentecode uit het overzicht van CBS dat actueel is op Ingangsdatum of ToewijzingIngangsdatum.,TR378,S300
JW315,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie,,,,TR056: Identificatie moet per berichtsoort uniek zijn voor de verzendende partij.,TR056,9056
JW315,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS017: Maximale lengte 12 posities,RS017,
JW315,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS033: Geen lege elementen in XML.,RS033,
JW315,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening,,,,TR135: Vullen met een bestaande datum die niet in de toekomst ligt.,TR135,8848
JW315,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW315,Header,BerichtCode\LDT_BerichtCode,,,,,RS010: Maximale lengte 3 posities,RS010,
JW315,Header,BerichtCode\LDT_BerichtCode,,,,,RS047: Vullen met BerichtCode volgens de specificatie,RS047,
JW315,Header,BerichtVersie,,,,,CS025: BerichtVersie vullen met 3.,CS025,
JW315,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS001: Minimale waarde 0,RS001,
JW315,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS002: Maximale waarde 99,RS002,
JW315,Header,BerichtSubversie,,,,,CS015: BerichtSubversie vullen met 2.,CS015,
JW315,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS001: Minimale waarde 0,RS001,
JW315,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS002: Maximale waarde 99,RS002,
JW315,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW315,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW315,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW315,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW317,,,,,,,TR374: Een verzoek mag alleen worden verstuurd als er geen onderhanden verzoek is voor de betreffende client van dezelfde aanbieder.,TR374,9374
JW317,,,,,,,"OP003:  Het gestandaardiseerd berichtenverkeer wordt niet gebruikt indien, naar oordeel van een (zorg)professional, de overdracht van clientgegevens ernstige risico's met zich meebrengt voor de veiligheid van de client.",OP003,
JW317,,,,,,,"OP039: In het berichtenverkeer mogen ketenpartijen clientgegevens doorgeven zoals deze in de administratie van de betreffende ketenpartij voorkomen, mits deze gegevens geen onderdeel zijn van een logische sleutel.",OP039,
JW317,,,,,,,"OP047: Als een bericht niet aan de geldende standaard voldoet, mag het bericht afgekeurd worden.",OP047,
JW317,,,,,,,OP079: Het is verplicht om gebruik te maken van het BSN van de client in de onderlinge uitwisseling van gegevens.,OP079,
JW317,,,,,,,OP080: Aan het tijdstip waarop en de volgorde waarin berichten worden ontvangen en verwerkt kunnen ketenpartijen geen betekenis hechten.,OP080,
JW317,,,,,,,OP095: Een bericht mag niet worden afgekeurd op basis van informatie waartoe de verzendende partij geen toegang heeft.,OP095,
JW317,,,,,,,OP179: De grootte van verzonden bestanden mag niet meer zijn dan 25 Mb.,OP179,
JW317,,,,,,,OP192: Verzonden berichten moeten voldoen aan de technische eisen.,OP192,
JW317,,,,,,,OP254: In de iJw berichten worden AGB-codes gebruikt voor routering van de berichten en voor identificatie van de aanbieder.,OP254,
JW317,,,,,,,"OP286: Als de ontvanger een technische fout constateert, keurt deze het bericht in zijn geheel af en laat hij dit weten aan de verzender. Het bericht moet daarmee functioneel als niet-verzonden worden beschouwd",OP286,
JW317,,,,,,,OP306: Het verzoek om wijziging bericht wordt gebruikt als tijdens levering van zorg en/of ondersteuning blijkt dat een ander pakket van toegewezen producten nodig is,OP306,
JW317,,,,,,,OP308: Een aanbieder vraagt met een verzoek om wijziging bericht een samenhangend geheel aan toewijzingen aan met daarin de volledige gewenste situatie.,OP308,
JW317,,,,,,,OP343: Een verzoek om wijziging moet tijdig ingediend worden.,OP343,
JW317,,,,,,,"OP345: Als de gewenste ingangsdatum van een te wijzigen product uit een verzoek om wijziging in het verleden ligt, dan mag de nieuwe omvang of het nieuwe budget niet leiden tot onrechtmatigheid voor al gedeclareerde en of geleverde  zorg.",OP345,
JW317,,,,,,,OP347: Het is niet toegestaan om een zorg- of ondersteuningsproduct gestapeld aan te vragen,OP347,
JW317,,,,,,,OP350: Het is niet toegestaan een verzoek om wijziging of verzoek om toewijzing te sturen als een eerder verzoek nog niet is afgehandeld.,OP350,
JW317,,,,,,,OP361: Iedere aanvraag krijgt een uniek referentienummer per aanbieder per wettelijk domein,OP361,
JW317,,,,,,,IV092: Hoe moet een Verzoek om Wijziging (VOW bericht) gevuld worden,IV092,
JW317,Client,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW317,Client,Bsn,,,ja,,TR304: Bsn moet overeenkomen met Bsn van een Client.,TR304,8187
JW317,Client,Bsn\LDT_BurgerServicenummer,,,ja,,CS002: De waarde moet voldoen aan de 11-proef.,CS002,0001
JW317,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS015: Maximale lengte 9 posities,RS015,
JW317,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS037: Vullen met 9 cijfers.,RS037,
JW317,Header,Afzender\LDT_AgbCode,,,,,RS014: Maximale lengte 8 posities,RS014,
JW317,Header,Afzender\LDT_AgbCode,,,,,RS036: Vullen met 8 cijfers.,RS036,
JW317,Header,Ontvanger,,,,,IV046: Welke gemeentecode moet gevuld worden?,IV046,
JW317,Header,Ontvanger\LDT_Gemeente,,,,,RS035: Vullen met 4 cijfers.,RS035,
JW317,Header,Ontvanger\LDT_Gemeente,,,,,TR378: Vullen met een bestaande gemeentecode uit het overzicht van CBS dat actueel is op Ingangsdatum of ToewijzingIngangsdatum.,TR378,S300
JW317,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie,,,,TR056: Identificatie moet per berichtsoort uniek zijn voor de verzendende partij.,TR056,9056
JW317,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS017: Maximale lengte 12 posities,RS017,
JW317,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS033: Geen lege elementen in XML.,RS033,
JW317,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening,,,,TR135: Vullen met een bestaande datum die niet in de toekomst ligt.,TR135,8848
JW317,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW317,Header,BerichtCode\LDT_BerichtCode,,,,,RS010: Maximale lengte 3 posities,RS010,
JW317,Header,BerichtCode\LDT_BerichtCode,,,,,RS047: Vullen met BerichtCode volgens de specificatie,RS047,
JW317,Header,BerichtVersie,,,,,CS025: BerichtVersie vullen met 3.,CS025,
JW317,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS001: Minimale waarde 0,RS001,
JW317,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS002: Maximale waarde 99,RS002,
JW317,Header,BerichtSubversie,,,,,CS015: BerichtSubversie vullen met 2.,CS015,
JW317,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS001: Minimale waarde 0,RS001,
JW317,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS002: Maximale waarde 99,RS002,
JW317,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW317,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW317,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW317,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW317,NieuwProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW317,NieuwProduct,,,,,,TR410: Een Product mag alleen vaker in de berichtklassen NieuwProduct voorkomen als de zorgperiodes elkaar niet overlappen.,TR410,0001
JW317,NieuwProduct,Product,,,ja,,"CD079: Indien Budget leeg is, dan verplicht vullen",CD079,0001
JW317,NieuwProduct,Product,,,ja,,IV075: Hoe moeten productgegevens gevuld worden?,IV075,
JW317,NieuwProduct,Product\CDT_Product,Categorie\LDT_ProductCategorie,,ja,JZ020,RS009: Maximale lengte 2 posities,RS009,
JW317,NieuwProduct,Product\CDT_Product,Code,,ja,,"TR381: ProductCode vullen met een code die, volgens de gehanteerde productcodelijst, past bij de ProductCategorie.",TR381,S329
JW317,NieuwProduct,Product\CDT_Product,Code\LDT_ProductCode,,ja,,RS012: Maximale lengte 5 posities,RS012,
JW317,NieuwProduct,Product\CDT_Product,Code\LDT_ProductCode,,ja,,RS033: Geen lege elementen in XML.,RS033,
JW317,NieuwProduct,GewensteIngangsdatum,,,ja,,TR380: Vullen met een datum die groter is dan de dagtekening van het bericht.,TR380,0001
JW317,NieuwProduct,GewensteIngangsdatum\LDT_Datum,,,ja,,RS032: Datum vullen zonder tijdzone.,RS032,
JW317,NieuwProduct,Einddatum,,,,,CD075: Verplicht vullen indien Budget gevuld is,CD075,0001
JW317,NieuwProduct,Einddatum,,,,,CD076: Verplicht vullen indien Frequentie waarde 2 (per week),CD076,0001
JW317,NieuwProduct,Einddatum,,,,,"CS003: Indien van toepassing vullen met een waarde die groter is dan, of gelijk is aan de Begindatum (of Ingangsdatum) van de aangeduide periode.",CS003,0001
JW317,NieuwProduct,Einddatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW317,NieuwProduct,Omvang,,,,,"CD041: Indien Code in Product gevuld is, verplicht vullen.",CD041,0001
JW317,NieuwProduct,Omvang,,,,,"CD077: Indien Budget gevuld is, dan leeg laten",CD077,0001
JW317,NieuwProduct,Omvang,,,,,"CD096: Indien Code in NieuwProduct leeg is en Einddatum groter dan 31-12-2020 of leeg is, dan leeg laten",CD096,0001
JW317,NieuwProduct,Omvang,,,,,"CS338: Indien eenheid de waarde 14, 16, 83 of 84 heeft en Einddatum groter dan 31-12-2020 of leeg is, dan Frequentie vullen met de waarde 2 , 4 of 6",CS338,0001
JW317,NieuwProduct,Omvang,,,,,IV042: Hoe moet de omvang van te leveren of geleverde ondersteuning gevuld worden?,IV042,
JW317,NieuwProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS001: Minimale waarde 0,RS001,
JW317,NieuwProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS005: Maximale waarde 99999999 (8*9),RS005,
JW317,NieuwProduct,Omvang\CDT_Omvang,Eenheid\LDT_Eenheid,,,WJ756,RS009: Maximale lengte 2 posities,RS009,
JW317,NieuwProduct,Omvang\CDT_Omvang,Frequentie\LDT_Frequentie,,,WMO757,RS008: Maximale lengte 1 positie,RS008,
JW317,NieuwProduct,Budget,,,,,"CD078: Indien Omvang gevuld is, dan leeg laten",CD078,0001
JW317,NieuwProduct,Budget,,,,,IV024: Hoe moeten bedragen worden gevuld?,IV024,
JW317,NieuwProduct,Budget\LDT_Budget,,,,,RS001: Minimale waarde 0,RS001,
JW317,NieuwProduct,Budget\LDT_Budget,,,,,RS005: Maximale waarde 99999999 (8*9),RS005,
JW317,OngewijzigdProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW317,OngewijzigdProduct,,,,,,TR350: Ieder OngewijzigdProduct in een verzoek om wijziging bericht is gerelateerd aan een actueel toegewezen product op basis van het ToewijzingNummer.,TR350,9350
JW317,OngewijzigdProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS001: Minimale waarde 0,RS001,
JW317,OngewijzigdProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS006: Maximale waarde 999999999 (9*9),RS006,
JW317,TeWijzigenProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW317,TeWijzigenProduct,,,,,,TR351: Ieder TeWijzigenProduct in een verzoek om wijziging is gerelateerd aan een actueel ToegewezenProduct op basis van ToewijzingNummer.,TR351,9351
JW317,TeWijzigenProduct,GewensteIngangsdatum,,,,,"TR357: Als GewensteIngangsdatum kleiner dan of gelijk is aan de dagtekening, dan is GewensteIngangsdatum gelijk aan ingangsdatum van het originele ToegewezenProduct.",TR357,9357
JW317,TeWijzigenProduct,GewensteIngangsdatum,,,,,"TR373: Indien in een TeWijzigenProduct het Budget of het totaal over toewijzingsperiode wordt gewijzigd, dient GewensteIngangsdatum gelijk te zijn aan de actuele toewijzing",TR373,9373
JW317,TeWijzigenProduct,GewensteIngangsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW317,TeWijzigenProduct,Einddatum,,,,,CD075: Verplicht vullen indien Budget gevuld is,CD075,0001
JW317,TeWijzigenProduct,Einddatum,,,,,CD076: Verplicht vullen indien Frequentie waarde 2 (per week),CD076,0001
JW317,TeWijzigenProduct,Einddatum,,,,,"CS003: Indien van toepassing vullen met een waarde die groter is dan, of gelijk is aan de Begindatum (of Ingangsdatum) van de aangeduide periode.",CS003,0001
JW317,TeWijzigenProduct,Einddatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW317,TeWijzigenProduct,Omvang,,,,,"CD077: Indien Budget gevuld is, dan leeg laten",CD077,0001
JW317,TeWijzigenProduct,Omvang,,,,,"CS338: Indien eenheid de waarde 14, 16, 83 of 84 heeft en Einddatum groter dan 31-12-2020 of leeg is, dan Frequentie vullen met de waarde 2 , 4 of 6",CS338,0001
JW317,TeWijzigenProduct,Omvang,,,,,"TR375: Indien Product in de toewijzing met ToewijzingNummer leeg is en Einddatum groter dan 31-12-2020 of leeg is, dan leeg laten.",TR375,9375
JW317,TeWijzigenProduct,Omvang,,,,,"TR411: Indien Code in Product bij de toewijzing met ToewijzingNummer gevuld is, dan Omvang verplicht vullen",TR411,9411
JW317,TeWijzigenProduct,Omvang,,,,,"TR412: Indien Code in Product bij de toewijzing met ToewijzingNummer leeg is en einddatum groter dan 31-12-2020 of leeg is, dan leeg laten",TR412,9412
JW317,TeWijzigenProduct,Omvang,,,,,IV042: Hoe moet de omvang van te leveren of geleverde ondersteuning gevuld worden?,IV042,
JW317,TeWijzigenProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS001: Minimale waarde 0,RS001,
